case_id,merchant_id,amount,original_amount,currency,transaction_date,payment_method,reason_code,evidence_items,merchant_narrative
cb_0009,mch_016,9216.93,9216.93,INR,2026-05-25,netbanking,10.4,avs_cvv_match: AVS match report showing billing address and CVV matched at authorization | device_fingerprint_or_ip_log: IP geolocation log placing the order in the cardholder's registered city,The customer's order was handled per our standard process; details attached.
cb_0101,mch_018,504.6,504.6,INR,2026-04-12,netbanking,4853,return_policy_ack: Order confirmation email including the stated return policy terms,We don't have complete records for this one but are submitting what's available.
cb_0046,mch_005,11529.18,10684.36,INR,2026-05-15,upi,4855,proof_of_delivery: Signed delivery confirmation dated within the expected window | service_completion_record: Technician check-in/check-out record for the scheduled service,We fulfilled this order as described and have the records to support it.
cb_0003,mch_016,4193.74,4193.74,INR,2026-05-18,upi,13.3,product_listing_match: Product listing screenshot matching the SKU shipped,Order went out on schedule per our fulfillment log for this period.
cb_0096,mch_001,13573.14,13573.14,INR,2026-02-20,upi,4863,avs_cvv_match: AVS match report showing billing address and CVV matched at authorization | prior_purchase_history: Purchase history showing a consistent buying pattern on this account,The customer's order was handled per our standard process; details attached.
cb_0033,mch_018,13192.46,13192.46,INR,2026-05-09,card,10.4,device_fingerprint_or_ip_log: Device fingerprint log showing this device on 3 prior successful orders,Our records show this transaction was processed normally; we're contesting.
cb_0136,mch_010,11560.03,10279.8,INR,2026-03-03,upi,4863,avs_cvv_match: Payment gateway log confirming AVS full-match and CVV verified,Our records show this transaction was processed normally; we're contesting.
cb_0050,mch_003,2971.42,2971.42,INR,2026-03-07,upi,13.1,shipping_carrier_record: Shipping manifest with carrier tracking number matching the order,This customer has disputed before; we're submitting our side regardless.
cb_0082,mch_016,12570.44,12570.44,INR,2026-02-15,netbanking,13.1,proof_of_delivery: Courier proof-of-delivery photo with GPS-tagged drop location,We believe this chargeback was filed in error and are submitting what we have on file.
cb_0131,mch_015,9520.1,9520.1,INR,2026-01-16,upi,13.3,product_listing_match: Order confirmation showing the exact item and specification ordered | communication_log: Email thread with the customer prior to the dispute being filed,We don't have complete records for this one but are submitting what's available.
cb_0121,mch_003,3462.45,3462.45,INR,2026-03-06,upi,10.4,avs_cvv_match: AVS match report showing billing address and CVV matched at authorization | device_fingerprint_or_ip_log: Device fingerprint log showing this device on 3 prior successful orders,We don't have complete records for this one but are submitting what's available.
cb_0100,mch_004,14454.53,14454.53,INR,2026-02-28,netbanking,12.6.1,,Order went out on schedule per our fulfillment log for this period.
cb_0006,mch_004,6969.74,6969.74,INR,2026-06-09,netbanking,4855,proof_of_delivery: Courier proof-of-delivery photo with GPS-tagged drop location | service_completion_record: Technician check-in/check-out record for the scheduled service | transaction_log_dedup: Payment processor log showing only one settled charge for this order,We believe this chargeback was filed in error and are submitting what we have on file.
cb_0145,mch_002,13149.52,13149.52,INR,2026-01-23,netbanking,10.4,,Our records show this transaction was processed normally; we're contesting.
cb_0130,mch_008,11475.16,11475.16,INR,2026-02-25,netbanking,13.1,proof_of_delivery: Signed delivery confirmation dated within the expected window | shipping_carrier_record: Shipping manifest with carrier tracking number matching the order | cardholder_ip_device_match: Login history showing this device used the cardholder's account before,We're short on documentation for this case but wanted to respond regardless.
cb_0018,mch_005,8813.95,8813.95,INR,2026-06-11,card,13.1,proof_of_delivery: Courier proof-of-delivery photo with GPS-tagged drop location | shipping_carrier_record: Carrier tracking record showing package scanned delivered,We fulfilled this order as described and have the records to support it.
cb_0093,mch_015,13547.78,13547.78,INR,2026-02-03,upi,4853,return_policy_ack: Order confirmation email including the stated return policy terms,This customer has disputed before; we're submitting our side regardless.
cb_0022,mch_010,4947.8,4947.8,INR,2026-01-01,upi,4855,,Our records show this transaction was processed normally; we're contesting.
cb_0048,mch_010,7476.97,7476.97,INR,2026-04-01,upi,4863,avs_cvv_match: AVS match report showing billing address and CVV matched at authorization,This customer has disputed before; we're submitting our side regardless.
cb_0107,mch_013,14250.46,14250.46,INR,2026-01-22,card,13.3,communication_log: Support ticket thread with the customer discussing the item received,We fulfilled this order as described and have the records to support it.
cb_0144,mch_015,14504.14,14504.14,INR,2026-07-20,card,4863,avs_cvv_match: Payment gateway log confirming AVS full-match and CVV verified,We don't have complete records for this one but are submitting what's available.
cb_0091,mch_010,2439.88,2439.88,INR,2026-05-22,card,13.3,product_listing_match: Order confirmation showing the exact item and specification ordered,We believe this chargeback was filed in error and are submitting what we have on file.
cb_0001,mch_020,4268.23,4268.23,INR,2026-06-18,card,10.4,avs_cvv_match: AVS match report showing billing address and CVV matched at authorization | device_fingerprint_or_ip_log: Device fingerprint log showing this device on 3 prior successful orders,This customer has disputed before; we're submitting our side regardless.
cb_0110,mch_018,10096.53,10017.55,INR,2026-07-26,card,4855,service_completion_record: Service completion log timestamped and matching the booking,This customer has disputed before; we're submitting our side regardless.
cb_0075,mch_009,9877.19,9877.19,INR,2026-02-19,upi,13.3,product_listing_match: Product listing screenshot matching the SKU shipped | communication_log: Support ticket thread with the customer discussing the item received,We're short on documentation for this case but wanted to respond regardless.
cb_0037,mch_010,10548.96,10548.96,INR,2026-02-14,netbanking,4853,product_listing_match: Order confirmation showing the exact item and specification ordered | return_policy_ack: Order confirmation email including the stated return policy terms,Order went out on schedule per our fulfillment log for this period.
cb_0062,mch_019,6554.91,6554.91,INR,2026-03-12,netbanking,4855,proof_of_delivery: Courier proof-of-delivery photo with GPS-tagged drop location,We're short on documentation for this case but wanted to respond regardless.
cb_0132,mch_009,1390.6,1390.6,INR,2026-01-02,upi,12.6.1,transaction_log_dedup: Payment processor log showing only one settled charge for this order,We don't have complete records for this one but are submitting what's available.
cb_0005,mch_002,7299.91,6505.75,INR,2026-04-17,upi,4853,product_listing_match: Product listing screenshot matching the SKU shipped | return_policy_ack: Checkout screenshot showing the customer accepted the return policy,We fulfilled this order as described and have the records to support it.
cb_0138,mch_003,9944.0,9944.0,INR,2026-02-20,netbanking,13.1,proof_of_delivery: Signed delivery confirmation dated within the expected window | shipping_carrier_record: Shipping manifest with carrier tracking number matching the order,Our records show this transaction was processed normally; we're contesting.
cb_0128,mch_003,6704.44,6704.44,INR,2026-01-13,upi,4863,prior_purchase_history: Account history showing 5 prior orders paid with the same card,This customer has disputed before; we're submitting our side regardless.
cb_0029,mch_008,11317.32,11317.32,INR,2026-02-28,card,4853,product_listing_match: Order confirmation showing the exact item and specification ordered | return_policy_ack: Order confirmation email including the stated return policy terms,We believe this chargeback was filed in error and are submitting what we have on file.
cb_0017,mch_013,6518.21,6518.21,INR,2026-07-18,netbanking,10.4,avs_cvv_match: Payment gateway log confirming AVS full-match and CVV verified,We're short on documentation for this case but wanted to respond regardless.
