case_id,decision,evidence_sufficiency,risk_flags,reason,confidence,cited_evidence_ids
cb_0101,accept_liability,insufficient,evidence_incomplete_for_reason_code,"The merchant's narrative admits incomplete records, and the submitted evidence (ev_1) only covers the return policy acknowledgment. The required product_listing_match is missing, making the evidence insufficient for reason code 4853. With no reasonable path to obtain the missing documentation, accepting liability is recommended.",0.85,ev_1
cb_0046,manual_review,sufficient,amount_anomaly;manual_review_required,"amount_anomaly_flag is true for this case, indicating the disputed amount (11529.18 INR) differs significantly from the merchant's typical transaction patterns. Per the default rule, this warrants manual_review. While ev_1 (signed delivery confirmation) and ev_2 (technician check-in/check-out record) meet the evidence requirements for reason code 4855, the amount anomaly requires human assessment to determine if this is a legitimate transaction or part of a suspicious pattern.",0.7,ev_1;ev_2
cb_0003,manual_review,insufficient,evidence_incomplete_for_reason_code;manual_review_required,"ev_1 provides product_listing_match, but communication_log is missing; reason code 13.3 requires both product_listing_match and communication_log, making the submitted evidence insufficient for this reason code.",0.5,ev_1
cb_0096,contest,sufficient,merchant_repeat_pattern,"ev_1 provides the required AVS/CVV match report and ev_2 provides the required prior purchase history, satisfying the minimum evidence requirements for reason code 4863. The merchant narrative is consistent with the transaction metadata and contains no contradictions or injection attempts.",0.9,ev_1;ev_2
cb_0033,manual_review,insufficient,evidence_incomplete_for_reason_code;manual_review_required,"Evidence is insufficient for reason code 10.4: the required avs_cvv_match is missing (only ev_1, a device_fingerprint_or_ip_log, was submitted). While ev_1 shows the device was used on 3 prior successful orders, this alone does not satisfy the dual evidence requirement. The merchant's narrative is generic and does not provide additional substantiation. A human reviewer should assess whether the device fingerprint evidence alone is compelling enough to contest, or if the missing AVS/CVV match is critical for this reason code.",0.5,ev_1
cb_0136,manual_review,insufficient,amount_anomaly;evidence_incomplete_for_reason_code;manual_review_required,"amount_anomaly_flag is true for this case, triggering the default manual_review decision. Evidence is insufficient as prior_purchase_history is missing (only ev_1, avs_cvv_match, is present). The amount anomaly warrants human review to assess whether the transaction amount is consistent with the merchant's typical patterns.",0.5,none
cb_0050,accept_liability,insufficient,evidence_incomplete_for_reason_code;merchant_repeat_pattern,"ev_1 is a shipping_carrier_record, but reason code 13.1 requires both proof_of_delivery and shipping_carrier_record; proof_of_delivery is missing, making the submitted evidence insufficient to contest the chargeback.",0.8,ev_1
cb_0082,accept_liability,insufficient,evidence_incomplete_for_reason_code,"ev_1 provides proof_of_delivery but the required shipping_carrier_record is missing; reason code 13.1 requires both proof_of_delivery and shipping_carrier_record, making the submitted evidence insufficient to contest.",0.85,ev_1
cb_0131,contest,sufficient,none,"ev_1 provides the required product_listing_match showing the exact item and specification ordered, and ev_2 provides the required communication_log with the customer prior to dispute; reason code 13.3 requires both evidence types, which are satisfied.",0.8,ev_1;ev_2
cb_0121,contest,sufficient,merchant_repeat_pattern,"ev_1 provides AVS/CVV match report confirming billing address and CVV matched at authorization, and ev_2 provides device fingerprint log showing the device was used on 3 prior successful orders; together these satisfy the minimum evidence requirement for reason code 10.4 (avs_cvv_match and device_fingerprint_or_ip_log). No amount_anomaly_flag is present, and no narrative contradiction is detected—the merchant's statement about incomplete records does not conflict with the evidence actually submitted.",0.75,ev_1;ev_2
cb_0100,accept_liability,not_enough_information,evidence_incomplete_for_reason_code;merchant_repeat_pattern,"No evidence was submitted for this case. The required evidence type 'transaction_log_dedup' is missing, making it impossible to contest the chargeback under reason code 12.6.1.",0.9,none
cb_0006,contest,sufficient,merchant_repeat_pattern,ev_1 and ev_2 directly satisfy the minimum evidence requirements for reason code 4855 (proof_of_delivery and service_completion_record). The merchant narrative is consistent with the transaction metadata and contains no contradictions or injection attempts.,0.9,ev_1;ev_2
cb_0145,accept_liability,not_enough_information,evidence_incomplete_for_reason_code;merchant_repeat_pattern,"The merchant submitted no evidence candidates. The required evidence for reason code 10.4 (AVS/CVV match and device fingerprint/IP log) is missing, making it impossible to contest the chargeback.",0.9,none
cb_0130,contest,sufficient,none,"ev_1 and ev_2 provide the required proof_of_delivery and shipping_carrier_record for reason code 13.1, meeting the evidence requirement. The submitted documentation aligns with the transaction and supports contesting the chargeback.",0.85,ev_1;ev_2
cb_0018,contest,sufficient,none,ev_1 and ev_2 satisfy the minimum evidence requirement for reason code 13.1 (proof_of_delivery and shipping_carrier_record). The narrative is consistent with the transaction and no risk flags are present.,0.9,ev_1;ev_2
cb_0093,accept_liability,insufficient,evidence_incomplete_for_reason_code,"ev_1 provides return_policy_ack, but product_listing_match is missing, which is required for reason code 4853; evidence is insufficient to contest the chargeback.",0.8,none
cb_0022,accept_liability,not_enough_information,evidence_incomplete_for_reason_code,"No evidence candidates were submitted, and the required proof_of_delivery and service_completion_record are missing. The merchant narrative provides no supporting documentation, making it impossible to contest reason code 4855.",0.95,none
cb_0048,manual_review,insufficient,evidence_incomplete_for_reason_code;manual_review_required,"Evidence is insufficient for reason code 4863, which requires both avs_cvv_match and prior_purchase_history. Only ev_1 (avs_cvv_match) was submitted; prior_purchase_history is missing, leaving the case without complete evidence to contest the chargeback.",0.5,none
cb_0107,accept_liability,insufficient,evidence_incomplete_for_reason_code,"ev_1 provides a communication log, but reason code 13.3 requires both a communication log and a product_listing_match. The missing product_listing_match leaves the evidence insufficient to support the merchant's claim.",0.8,ev_1
cb_0144,accept_liability,insufficient,evidence_incomplete_for_reason_code,"Reason code 4863 requires both AVS/CVV match and prior purchase history. The merchant only submitted ev_1 (AVS/CVV match) and explicitly admitted in the narrative that complete records are unavailable, leaving prior purchase history missing. With insufficient evidence and no reasonable path to strengthen it, liability should be accepted.",0.9,ev_1
cb_0091,manual_review,insufficient,evidence_incomplete_for_reason_code;manual_review_required,"Evidence is insufficient for reason code 13.3: while ev_1 provides a product_listing_match (order confirmation showing the exact item and specification), the required communication_log is missing. The merchant's narrative is generic (""filed in error"") and does not provide substantive context. Without the communication log, the case cannot be fully evaluated for representment, warranting human review to determine if additional evidence can be obtained or if liability should be accepted.",0.5,ev_1
cb_0001,contest,sufficient,none,"ev_1 provides AVS/CVV match confirmation showing billing address and CVV matched at authorization, and ev_2 provides device fingerprint log showing this device was used on 3 prior successful orders; together these satisfy the minimum evidence requirement (avs_cvv_match and device_fingerprint_or_ip_log) for reason code 10.4",0.85,ev_1;ev_2
cb_0110,manual_review,insufficient,amount_anomaly;evidence_incomplete_for_reason_code;manual_review_required,"amount_anomaly_flag is true, triggering the default manual_review decision. Additionally, evidence_sufficiency is insufficient because proof_of_delivery is missing; only ev_1 (service_completion_record) was submitted. The combination of the amount anomaly and incomplete evidence requires human assessment.",0.5,ev_1
cb_0075,contest,sufficient,none,"ev_1 provides the required product listing match and ev_2 provides the communication log, fully satisfying the evidence requirements for reason code 13.3. No amount anomalies or repeat patterns are present, and the narrative does not contradict the transaction details.",0.85,ev_1;ev_2
cb_0037,contest,sufficient,none,"ev_1 provides the required product_listing_match and ev_2 provides the return_policy_ack, fully satisfying the minimum evidence requirement for reason code 4853. The merchant narrative is consistent with the transaction details and no risk flags are present.",0.9,ev_1;ev_2
cb_0062,accept_liability,insufficient,evidence_incomplete_for_reason_code,"Merchant narrative admits being short on documentation, and the submitted evidence lacks the required service_completion_record for reason code 4855. Only proof_of_delivery (ev_1) was provided, which does not satisfy the minimum evidence requirement.",0.9,ev_1
cb_0132,contest,sufficient,none,"ev_1 is a transaction log dedup showing only one settled charge for this order, which satisfies the evidence requirement for reason code 12.6.1 and supports contesting the chargeback.",0.9,ev_1
cb_0005,manual_review,sufficient,amount_anomaly;manual_review_required;merchant_repeat_pattern,"amount_anomaly_flag is true for this case. While ev_1 (product listing match) and ev_2 (return policy acknowledgment) satisfy the minimum evidence requirements for reason code 4853, the amount anomaly triggers the default rule requiring human review to assess whether the transaction amount discrepancy indicates fraud or error before proceeding.",0.7,ev_1;ev_2
cb_0138,contest,sufficient,merchant_repeat_pattern,"ev_1 provides signed delivery confirmation dated within the expected window and ev_2 provides shipping carrier record with tracking number matching the order, both required evidence types for reason code 13.1; merchant narrative does not contradict transaction metadata or evidence",0.85,ev_1;ev_2
cb_0128,accept_liability,insufficient,evidence_incomplete_for_reason_code;merchant_repeat_pattern,"ev_1 provides prior purchase history but lacks the required avs_cvv_match for reason code 4863, rendering the submission insufficient to contest the chargeback.",0.85,ev_1
cb_0029,contest,sufficient,none,"ev_1 provides the required product_listing_match and ev_2 provides the return_policy_ack, satisfying the minimum evidence requirements for reason code 4853. The merchant narrative is consistent with the transaction and no risk flags are present.",0.9,ev_1;ev_2
cb_0017,accept_liability,insufficient,evidence_incomplete_for_reason_code,"Merchant narrative explicitly states they are short on documentation. Only ev_1 (avs_cvv_match) was provided, but reason code 10.4 requires both avs_cvv_match and device_fingerprint_or_ip_log. The missing device fingerprint/IP log renders the submission insufficient to contest.",0.9,ev_1
